cluster_id,profiles,targets,review_ready_profiles,requires_manual_review,shared_indicators
cluster-014,8,National Automobile Purchase Syndicate (0XX-369 Network) | National Electrician Syndicate (0XX-369 Network) | National Heat Pump Syndicate (0XX-369 Network) | National Insulation Syndicate Part 2 (0XX-369 Network) | National Pest Control Syndicate (0XX-369 Network) | National Plasterer Syndicate Part 1 (0XX-369 Network) | National Sewer and Unblocking Syndicate (0XX-369 Network) | National Water Softener Syndicate  (0XX-369 Network),0,True,address:hartvanbrabantlaan125038jltilburg
cluster-019,8,PremiumWitgoedReparatie Syndicate (National Virtual Witgoed Network),0,True,website:witgoed-reparatie.net
cluster-033,7,National Pro Deo Lawyer Syndicate Part 3 (Regional Towns) | Slotenmaker van Dijk,0,True,address:meidoornkade223992aehouten | website:slotenmakervandijk.nl
cluster-031,7,National Automobile Purchase Syndicate (0XX-369 Network) | National Electrician Syndicate (0XX-369 Network) | National Heat Pump Syndicate (0XX-369 Network) | National Insulation Syndicate Part 2 (0XX-369 Network) | National Landscaping Syndicate (0XX-369 Network) | National Painting Syndicate (0XX-369 Network) | National Window Frame Syndicate Part 1 (0XX-369 Network),0,True,address:johandewittlaan72517jtdenhaag
cluster-036,5,National Facade Cleaning Syndicate Part 2 (0XX-369 Network),0,True,address:vrijblijvendadviesgeefjegeveleenfrisseuitstralingvraageenvoudigeenvrijblijvendeofferteaanenontdekwatprofessionelegevelreinigingvoor
cluster-037,5,National Personal Injury Syndicate (0XX-369 Network),0,True,address:parklaan33016barotterdam
cluster-049,4,National Moisture Control Syndicate Part 2 (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 1 (Bollenstreek & West NL) | Slotenmaker Amsterdam-Zuid Netwerk (Apollolaan 153),0,True,address:strawinskylaan30511077zxamsterdam | website:slotenmaker-amsterdamzuid.nl
cluster-034,4,National Air Conditioning Syndicate Part 2 (0XX-369 Network) | National Insulation Syndicate Part 2 (0XX-369 Network) | National Sewer and Unblocking Syndicate (0XX-369 Network),0,True,address:olofpalmestraat102616lrdelft
cluster-067,4,Wellhuis Dakwerken B.V.,0,True,website:wellhuisdakwerken.nl
cluster-003,3,National Moisture Control Syndicate (0XX-369 Network) | National Personal Injury Syndicate (0XX-369 Network) | National Personal Injury Syndicate Part 2 (0XX-369 Network),0,True,address:schipholweg552316zlleiden | phone:0715690472 | website:letselschadeadvocaatleiden.net
cluster-011,3,Leiden Contractor Syndicate (Bargelaan 200) | National Bathroom Renovation Syndicate  (0XX-369 Network),0,True,address:schipholweg1032316xcleiden | phone:0715690739 | website:badkamerrenovatieleiden.com
cluster-002,3,National Auto Sales Syndicate Part 1 (0XX-369 Network) | National Bathroom Renovation Syndicate  (0XX-369 Network) | National Personal Injury Syndicate Part 2 (0XX-369 Network),0,True,address:boomstraat1315038gptilburg
cluster-006,3,National Fencing and Gates Syndicate  (0XX-369 Network) | National Roofing Syndicate (0XX-369 Network) | National Sewer and Unblocking Syndicate (0XX-369 Network),0,True,address:weenazuid1303012esrotterdam
cluster-017,3,National Moving Company Syndicate Part 2 (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 4 (Smaller Municipalities) | National Seamless Flooring Syndicate Part 2 (0XX-369 Network),0,True,address:rossinistraat365344akoss
cluster-020,3,Sixt B.V. (Enterprise Keyword Stuffing),0,True,website:sixt.nl
cluster-021,3,Leiden Contractor Syndicate (Bargelaan 200) | National Auto Sales Syndicate Part 2 (0XX-369 Network) | National Pest Control Syndicate (0XX-369 Network),0,True,address:dellaertweg12316wzleiden
cluster-039,3,National Employment Law Syndicate (0XX-369 Network),0,True,address:florapark72012hkhaarlem
cluster-043,3,National Criminal Law Syndicate (0XX-369 Network),0,True,address:nieuwesgravelandseweg511405hjbussum
cluster-057,3,National Painting Syndicate (0XX-369 Network) | National Plasterer Syndicate Part 1 (0XX-369 Network) | National Window Frame Syndicate Part 1 (0XX-369 Network),0,True,address:ebbehout11507eczaandam
cluster-064,2,Hoofddorp Contractor Syndicate (Saturnusstraat 46) | National Home Renovation Syndicate (0XX-369 Network),0,True,address:planetenweg52132hnhoofddorp | phone:0233699921 | website:dakkapelhoofddorp.com
cluster-068,2,Dakservice Vroegh B.V.,0,True,phone:0850601994 | website:dakservicevroegh.nl
cluster-004,2,National Personal Injury Syndicate Part 2 (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 1 (Bollenstreek & West NL),0,True,address:leonardspringerlaan19727kbgroningen
cluster-008,2,National Bathroom Renovation Syndicate  (0XX-369 Network) | National Property Clearance Syndicate Part 1 (0XX-369 Network),0,True,address:euclideslaan13584blutrecht
cluster-009,2,National Bathroom Renovation Syndicate  (0XX-369 Network) | National Property Clearance Syndicate Part 1 (0XX-369 Network),0,True,address:spoordreef201315gpalmere
cluster-010,2,National Bathroom Renovation Syndicate  (0XX-369 Network) | National Property Clearance Syndicate Part 1 (0XX-369 Network),0,True,address:vanadiumweg113812pxamersfoort
cluster-015,2,National Employment Law Syndicate (0XX-369 Network) | National Solar Energy Syndicate  (0XX-369 Network),0,True,address:delftechpark262628xhdelft
cluster-022,2,National Auto Sales Syndicate Part 2 (0XX-369 Network) | National Painting Syndicate Part 2 (0XX-369 Network),0,True,address:brouwersweg1006216egmaastricht
cluster-023,2,National Auto Sales Syndicate Part 2 (0XX-369 Network) | National Moving Company Syndicate Part 2 (0XX-369 Network),0,True,address:nieuwamsterdamsestraat407814vaemmen
cluster-024,2,National Auto Sales Syndicate Part 2 (0XX-369 Network) | National Moving Company Syndicate Part 2 (0XX-369 Network),0,True,address:molengraaffsingel82629jddelft
cluster-025,2,National Auto Sales Syndicate Part 2 (0XX-369 Network) | National Plasterer Syndicate Part 2 (0XX-369 Network),0,True,address:bonairelaan41213vhhilversum
cluster-026,2,National Auto Sales Syndicate Part 1 (0XX-369 Network) | National Pest Control Syndicate (0XX-369 Network),0,True,address:regulusweg52516acdenhaag
cluster-027,2,National Auto Sales Syndicate Part 1 (0XX-369 Network) | National Pest Control Syndicate (0XX-369 Network),0,True,address:weegschaalstraat35632cweindhoven
cluster-028,2,National Auto Sales Syndicate Part 1 (0XX-369 Network) | National Pest Control Syndicate (0XX-369 Network),0,True,address:reduitlaan274814dcbreda
cluster-029,2,National Auto Sales Syndicate Part 1 (0XX-369 Network) | National Employment Law Syndicate (0XX-369 Network),0,True,address:hengelosestraat5817521agenschede
cluster-030,2,National Auto Sales Syndicate Part 1 (0XX-369 Network) | National Pest Control Syndicate (0XX-369 Network),0,True,address:smallepad323811mgamersfoort
cluster-032,2,National Automobile Purchase Syndicate (0XX-369 Network) | National Heat Pump Syndicate (0XX-369 Network),0,True,address:koelmalaan3501812psalkmaar
cluster-035,2,National Facade Cleaning Syndicate Part 2 (0XX-369 Network) | National Moisture Control Syndicate (0XX-369 Network),0,True,address:mekelweg42628cddelft
cluster-038,2,National Painting Syndicate Part 2 (0XX-369 Network) | National Personal Injury Syndicate (0XX-369 Network),0,True,address:kaldenkerkerweg205913aevenlo
cluster-040,2,National Criminal Law Syndicate (0XX-369 Network) | National Employment Law Syndicate (0XX-369 Network),0,True,address:torenallee205617bceindhoven
cluster-041,2,National Employment Law Syndicate (0XX-369 Network),0,True,address:pietercalandlaan7691069scamsterdam
cluster-044,2,National Criminal Law Syndicate (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 2 (Major Cities),0,True,address:burgemeestermatsersingel2006843nzarnhem
cluster-045,2,National Criminal Law Syndicate (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 2 (Major Cities),0,True,address:loolaan377314abapeldoorn
cluster-046,2,National Painting Syndicate Part 2 (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 2 (Major Cities),0,True,address:spicalaan12132jghoofddorp
cluster-047,2,National Painting Syndicate (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 2 (Major Cities),0,True,address:vanheekstraat153125bnschiedam
cluster-048,2,National Painting Syndicate (0XX-369 Network) | National Pro Deo Lawyer Syndicate Part 2 (Major Cities),0,True,address:vanbeethovensingel1263133eavlaardingen
cluster-051,2,Hoofddorp Contractor Syndicate (Saturnusstraat 46) | National Window Frame Syndicate Part 2 (0XX-369 Network),0,True,address:saturnusstraat462132hbhoofddorp
cluster-052,2,National Roofing Syndicate (0XX-369 Network) | National Window Frame Syndicate Part 2 (0XX-369 Network),0,True,address:lagenaarderweg451217gnhilversum
cluster-053,2,National Roofing Syndicate (0XX-369 Network) | National Window Frame Syndicate Part 2 (0XX-369 Network),0,True,address:debrauwweg243125aeschiedam
cluster-054,2,National Roofing Syndicate (0XX-369 Network) | National Window Frame Syndicate Part 2 (0XX-369 Network),0,True,address:vanlindenvandenheuvellweg23134aevlaardingen
cluster-055,2,National Roofing Syndicate Part 2 (0XX-369 Network) | National Window Frame Syndicate Part 2 (0XX-369 Network),0,True,address:oliemolenstraat606416cbheerlen
cluster-056,2,National Roofing Syndicate Part 2 (0XX-369 Network) | National Window Frame Syndicate Part 2 (0XX-369 Network),0,True,address:fischerpad1066135kssittard
cluster-058,2,National Landscaping Syndicate (0XX-369 Network) | National Roofing Syndicate (0XX-369 Network),0,True,address:ebbehout11507eazaandam
cluster-059,2,National Electrician Syndicate (0XX-369 Network) | National Plasterer Syndicate Part 2 (0XX-369 Network),0,True,address:stationsplein915211bpshertogenbosch
cluster-060,2,National Painting Syndicate Part 2 (0XX-369 Network) | National Pest Control Syndicate (0XX-369 Network),0,True,address:vissersdijkbeneden703319gwdordrecht
cluster-061,2,National Insulation Syndicate Part 2 (0XX-369 Network),0,True,address:edelgasstraat1012718tezoetermeer
cluster-062,2,National Insulation Syndicate Part 2 (0XX-369 Network),0,True,address:vangodewijckstraat303311gxdordrecht
cluster-063,2,National Insulation Syndicate Part 2 (0XX-369 Network),0,True,address:robijnstraat111812rbalkmaar
cluster-066,2,Hoofddorp Contractor Syndicate (Saturnusstraat 46),0,True,address:kruisweg7892132nghoofddorp
