case_id,target_name,created_at,status,dossier_path,result_screenshot
4-2665000041448,National Pro Deo Lawyer Syndicate Part 3 (Regional Towns),2026-09-20T14:33:02.397210,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_pro_deo_lawyer_syndicate_part_3__regional_towns__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_pro_deo_lawyer_syndicate_part_3__regional_towns__submission_result.png
0-7254000041983,National Moving Company Syndicate Part 2 (0XX-369 Network),2026-09-20T14:29:21.783254,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_moving_company_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_moving_company_syndicate_part_2__0xx-369_network__submission_result.png
6-2361000041333,National Moving Company Syndicate Part 1 (0XX-369 Network),2026-09-20T14:29:01.565215,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_moving_company_syndicate_part_1__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_moving_company_syndicate_part_1__0xx-369_network__submission_result.png
7-3050000041483,National Air Conditioning Syndicate Part 2 (0XX-369 Network),2026-09-20T14:27:07.138136,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_air_conditioning_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_air_conditioning_syndicate_part_2__0xx-369_network__submission_result.png
0-2547000042238,National Air Conditioning Syndicate Part 1 (0XX-369 Network),2026-09-20T14:26:45.693258,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_air_conditioning_syndicate_part_1__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_air_conditioning_syndicate_part_1__0xx-369_network__submission_result.png
7-8796000041661,National Facade Cleaning Syndicate Part 2 (0XX-369 Network),2026-09-20T14:24:48.070808,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_facade_cleaning_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_facade_cleaning_syndicate_part_2__0xx-369_network__submission_result.png
0-6957000042014,National Facade Cleaning Syndicate Part 1 (0XX-369 Network),2026-09-20T14:24:18.901405,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_facade_cleaning_syndicate_part_1__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_facade_cleaning_syndicate_part_1__0xx-369_network__submission_result.png
9-8728000041558,National Personal Injury Syndicate (0XX-369 Network),2026-09-20T14:01:34.917814,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_personal_injury_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_personal_injury_syndicate__0xx-369_network__submission_result.png
5-4719000041187,National Employment Law Syndicate (0XX-369 Network),2026-09-20T14:01:14.008060,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_employment_law_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_employment_law_syndicate__0xx-369_network__submission_result.png
4-0573000040881,National Criminal Law Syndicate (0XX-369 Network),2026-09-20T14:00:55.972313,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_criminal_law_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_criminal_law_syndicate__0xx-369_network__submission_result.png
4-2380000041854,National Pro Deo Lawyer Syndicate Part 2 (Major Cities),2026-09-20T13:44:59.372273,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_pro_deo_lawyer_syndicate_part_2__major_cities__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_pro_deo_lawyer_syndicate_part_2__major_cities__submission_result.png
2-3457000041128,National Pro Deo Lawyer Syndicate Part 1 (Bollenstreek & West NL),2026-09-20T13:44:39.447429,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_pro_deo_lawyer_syndicate_part_1__bollenstreek___west_nl__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_pro_deo_lawyer_syndicate_part_1__bollenstreek___west_nl__submission_result.png
6-7234000041031,PC Refresh Inleverpunten Syndicate Part 3 (Drop-off Network),2026-09-17T14:39:33.555156,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\pc_refresh_inleverpunten_syndicate_part_3__drop-off_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\pc_refresh_inleverpunten_syndicate_part_3__drop-off_network__submission_result.png
6-7075000040838,PC Refresh Inleverpunten Syndicate Part 2 (Drop-off Network),2026-09-17T14:39:15.988506,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\pc_refresh_inleverpunten_syndicate_part_2__drop-off_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\pc_refresh_inleverpunten_syndicate_part_2__drop-off_network__submission_result.png
0-6209000041256,PC Refresh Inleverpunten Syndicate Part 1 (Drop-off Network),2026-09-17T14:38:59.456934,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\pc_refresh_inleverpunten_syndicate_part_1__drop-off_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\pc_refresh_inleverpunten_syndicate_part_1__drop-off_network__submission_result.png
1-4280000041119,National Window Frame Syndicate Part 2 (0XX-369 Network),2026-09-08T10:06:37.104856,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_window_frame_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_window_frame_syndicate_part_2__0xx-369_network__submission_result.png
4-0685000042140,National Window Frame Syndicate Part 1 (0XX-369 Network),2026-09-08T10:06:17.834801,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_window_frame_syndicate_part_1__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_window_frame_syndicate_part_1__0xx-369_network__submission_result.png
5-3575000041068,National Landscaping Syndicate (0XX-369 Network),2026-09-08T10:05:58.303295,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_landscaping_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_landscaping_syndicate__0xx-369_network__submission_result.png
3-5874000041028,National Plasterer Syndicate Part 2 (0XX-369 Network),2026-09-08T10:02:26.803614,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_plasterer_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_plasterer_syndicate_part_2__0xx-369_network__submission_result.png
3-9461000041160,National Plasterer Syndicate Part 1 (0XX-369 Network),2026-09-08T10:02:09.092148,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_plasterer_syndicate_part_1__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_plasterer_syndicate_part_1__0xx-369_network__submission_result.png
4-6308000041287,National Painting Syndicate Part 2 (0XX-369 Network),2026-09-08T09:56:04.828396,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_painting_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_painting_syndicate_part_2__0xx-369_network__submission_result.png
4-0102000041331,National Painting Syndicate (0XX-369 Network),2026-09-08T09:51:43.154219,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_painting_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_painting_syndicate__0xx-369_network__submission_result.png
1-6062000041232,National Heat Pump Syndicate (0XX-369 Network),2026-09-08T09:47:32.348031,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_heat_pump_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_heat_pump_syndicate__0xx-369_network__submission_result.png
0-1259000041782,National Roofing Syndicate Part 2 (0XX-369 Network),2026-09-08T09:35:45.641838,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_roofing_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_roofing_syndicate_part_2__0xx-369_network__submission_result.png
7-1754000041660,National Roofing Syndicate (0XX-369 Network),2026-09-08T09:25:41.518803,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_roofing_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_roofing_syndicate__0xx-369_network__submission_result.png
0-7492000041163,National Moisture Control Syndicate Part 2 (0XX-369 Network),2026-09-08T08:41:10.541558,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_moisture_control_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_moisture_control_syndicate_part_2__0xx-369_network__submission_result.png
3-8415000041950,SmartDry Vochtbestrijding (Schrijver Vochtbestrijding B.V.),2026-09-08T07:21:31.823857,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\smartdry_vochtbestrijding__schrijver_vochtbestrijding_b_v___gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\smartdry_vochtbestrijding__schrijver_vochtbestrijding_b_v___submission_result.png
4-3962000041694,CAREBRICK Nederland B.V. (Virtual Branch Network),2026-09-08T07:20:14.127086,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\carebrick_nederland_b_v___virtual_branch_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\carebrick_nederland_b_v___virtual_branch_network__submission_result.png
5-9473000041909,National Sewer and Unblocking Syndicate (0XX-369 Network),2026-09-08T07:11:31.169932,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_sewer_and_unblocking_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_sewer_and_unblocking_syndicate__0xx-369_network__submission_result.png
6-1228000041757,National Moisture Control Syndicate (0XX-369 Network),2026-09-08T06:57:45.683957,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_moisture_control_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_moisture_control_syndicate__0xx-369_network__submission_result.png
0-7911000041410,National Glazier Syndicate (0XX-369 Network),2026-09-07T23:25:18.285926,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_glazier_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_glazier_syndicate__0xx-369_network__submission_result.png
2-1996000042149,National Electrician Syndicate (0XX-369 Network),2026-09-07T23:10:09.669824,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_electrician_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_electrician_syndicate__0xx-369_network__submission_result.png
8-7040000040950,National Insulation Syndicate Part 2 (0XX-369 Network),2026-09-07T22:43:32.195984,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_insulation_syndicate_part_2__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_insulation_syndicate_part_2__0xx-369_network__submission_result.png
1-2996000041154,National Home Renovation Syndicate (0XX-369 Network),2026-09-07T22:25:30.692047,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_home_renovation_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_home_renovation_syndicate__0xx-369_network__submission_result.png
4-9380000041392,National Pest Control Syndicate (0XX-369 Network),2026-09-07T21:36:24.286978,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\national_pest_control_syndicate__0xx-369_network__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\national_pest_control_syndicate__0xx-369_network__submission_result.png
1-3470000040984,Psyned (Psychologen Nederland B.V.),2026-09-07T21:26:17.874263,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\psyned__psychologen_nederland_b_v___gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\psyned__psychologen_nederland_b_v___submission_result.png
9-4632000041448,Rijles Zonder Stress Franchise B.V.,2026-09-07T20:39:29.451740,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\rijles_zonder_stress_franchise_b_v__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\rijles_zonder_stress_franchise_b_v__submission_result.png
9-3878000041683,Hoofddorp Contractor Syndicate (Saturnusstraat 46),2026-09-07T19:59:45.792965,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\hoofddorp_contractor_syndicate__saturnusstraat_46__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\hoofddorp_contractor_syndicate__saturnusstraat_46__submission_result.png
6-9106000042100,Leiden Contractor Syndicate (Bargelaan 200),2026-09-07T19:31:30.969013,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\leiden_contractor_syndicate__bargelaan_200__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\leiden_contractor_syndicate__bargelaan_200__submission_result.png
7-2518000041314,Spouwmuurisolatie Netwerk (spouwmuurisolatieleiden.com),2026-09-07T15:56:49.852461,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\spouwmuurisolatie_netwerk__spouwmuurisolatieleiden_com__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\spouwmuurisolatie_netwerk__spouwmuurisolatieleiden_com__submission_result.png
4-1174000041679,Wellhuis Dakwerken B.V.,2026-09-07T14:07:15.990960,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\wellhuis_dakwerken_b_v__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\wellhuis_dakwerken_b_v__submission_result.png
9-0302000041010,Dakservice Vroegh B.V.,2026-09-07T14:04:12.433757,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\dakservice_vroegh_b_v__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\dakservice_vroegh_b_v__submission_result.png
3-7853000040762,Bouwvisie Holland,2026-09-07T13:58:34.396974,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\bouwvisie_holland_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\bouwvisie_holland_submission_result.png
5-8460000041218,Riool Techniek Groep B.V. (Ontstoppingsdienst.nl),2026-09-07T13:53:38.660462,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\riool_techniek_groep_b_v___ontstoppingsdienst_nl__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\riool_techniek_groep_b_v___ontstoppingsdienst_nl__submission_result.png
4-8659000042085,Slotenmaker Amsterdam-Zuid Netwerk (Apollolaan 153),2026-09-06T10:53:05.388513,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\slotenmaker_amsterdam-zuid_netwerk__apollolaan_153__gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\slotenmaker_amsterdam-zuid_netwerk__apollolaan_153__submission_result.png
3-6870000041340,Slotenmaker van Dijk,2026-09-06T10:42:05.058377,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\slotenmaker_van_dijk_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\slotenmaker_van_dijk_submission_result.png
4-1161000041462,Rotterdam Hofplein Contractor Syndicate,2026-09-06T10:18:31.484733,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\rotterdam_hofplein_contractor_syndicate_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\rotterdam_hofplein_contractor_syndicate_submission_result.png
2-4359000041458,Roofix Dakdekkers,2026-09-06T10:16:46.886342,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\roofix_dakdekkers_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\roofix_dakdekkers_submission_result.png
6-9364000041878,Maslocks,2026-09-06T10:02:02.316500,submitted,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\dossiers\maslocks_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\gbp-sentinel\screenshots\maslocks_submission_result.png
9-4576000041804,MR Dakdekker / PJH Totaalservice B.V.,2026-09-05T09:49:05.372031,submitted,C:\Users\danny\.gemini\antigravity\scratch\mrdakdekker_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\redressal_submission_result_mrdakdekker.png
7-1343000042173,Cross-Niche Syndicate (dakdekkeramsterdam.net),2026-09-05T09:12:05.881482,submitted,C:\Users\danny\.gemini\antigravity\scratch\cross_niche_syndicate_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\redressal_submission_result_syndicate.png
2-9725000041046,Dak Advies Groep B.V.,2026-09-05T09:00:26.954460,submitted,C:\Users\danny\.gemini\antigravity\scratch\dak_advies_groep_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\redressal_submission_result_dakadvies.png
4-8919000041358,PC Refresh,2026-09-05T09:00:26.943154,submitted,C:\Users\danny\.gemini\antigravity\scratch\pc_refresh_gbp_redressal_dossier.csv,C:\Users\danny\.gemini\antigravity\scratch\redressal_submission_result.png
